State,Year,TotalVehicles,CleanVehicles,NotCleanVehicles,PercentageClean,PercentageNotClean
Kentucky,2019,3973600,495700,3477900,12.474833903764848,87.52516609623515
Kentucky,2020,3967200,515700,3451500,12.999092558983666,87.00090744101632
Kentucky,2021,4016500,449100,3567400,11.181376820614963,88.81862317938504
Kentucky,2022,3974600,464200,3510400,11.679162683037287,88.32083731696271
Louisiana,2016,3736500,500200,3236300,13.386859360363976,86.61314063963601
Louisiana,2017,3787700,542800,3244900,14.330596404150276,85.66940359584973
Louisiana,2018,3794800,569500,3225300,15.007378517971961,84.99262148202804
Louisiana,2019,3808600,585100,3223500,15.362600430604424,84.63739956939558
Louisiana,2020,3821100,589100,3232000,15.41702651069064,84.58297348930937
Louisiana,2021,3820000,499100,3320900,13.06544502617801,86.93455497382199
Louisiana,2022,3792200,497900,3294300,13.129581773113234,86.87041822688677
Maine,2016,1181200,125600,1055600,10.633254317643075,89.36674568235694
Maine,2017,1199700,143000,1056700,11.919646578311244,88.08035342168876
Maine,2018,1205600,156300,1049300,12.964499004644988,87.03550099535501
Maine,2019,1212400,166700,1045700,13.749587594853182,86.25041240514682
Maine,2020,1224000,176800,1047200,14.444444444444443,85.55555555555556
Maine,2021,1234700,154100,1080600,12.480764558192273,87.51923544180772
Maine,2022,1222000,159200,1062800,13.027823240589198,86.9721767594108
Maryland,2016,4616800,428000,4188800,9.270490382949228,90.72950961705078
Maryland,2017,4680600,477000,4203600,10.191001153698243,89.80899884630176
Maryland,2018,4726400,506100,4220300,10.707938388625593,89.29206161137441
Maryland,2019,4744200,528900,4215300,11.148349563677753,88.85165043632225
Maryland,2020,4835900,550300,4285600,11.3794743481048,88.62052565189519
Maryland,2021,5051200,549000,4502200,10.868704466265442,89.13129553373456
Maryland,2022,5066800,572700,4494100,11.302992026525619,88.69700797347438
Massachusetts,2016,5167800,426100,4741700,8.245288130345601,91.75471186965439
Massachusetts,2017,5258200,476400,4781800,9.060134646837321,90.93986535316267
Massachusetts,2018,5298100,518700,4779400,9.79030218380174,90.20969781619826
Massachusetts,2019,5264200,541800,4722400,10.292162151893924,89.70783784810608
Massachusetts,2020,5389500,580200,4809300,10.765377122182022,89.23462287781798
Massachusetts,2021,5423200,516300,4906900,9.520209470423366,90.47979052957663
Massachusetts,2022,5422300,555200,4867100,10.239197388562049,89.76080261143795
Michigan,2016,8458700,1283900,7174800,15.178455318193103,84.8215446818069
Michigan,2017,8701000,1404100,7296900,16.137225606252155,83.86277439374784
Michigan,2018,8698100,1462600,7235500,16.81516653062163,83.18483346937838
Michigan,2019,8551500,1472400,7079100,17.21803192422382,82.78196807577618
Michigan,2020,8484700,1476600,7008100,17.40309026836541,82.5969097316346
