State,Year,Type,Count,Clean
Idaho,2016,Plug-In Hybrid Electric (PHEV),600,1
Idaho,2016,Hybrid Electric (HEV),16300,1
Idaho,2016,Biodiesel,0,1
Idaho,2016,Ethanol/Flex (E85),107100,1
Idaho,2016,Compressed Natural Gas (CNG),12800,1
Idaho,2016,Propane,0,1
Idaho,2016,Hydrogen,0,1
Idaho,2016,Methanol,0,1
Idaho,2016,Gasoline,1354300,0
Idaho,2016,Diesel,123000,0
Idaho,2016,Unknown Fuel,56200,0
Illinois,2016,Electric (EV),5800,1
Illinois,2016,Plug-In Hybrid Electric (PHEV),6000,1
Illinois,2016,Hybrid Electric (HEV),146500,1
Illinois,2016,Biodiesel,0,1
Illinois,2016,Ethanol/Flex (E85),968600,1
Illinois,2016,Compressed Natural Gas (CNG),18500,1
Illinois,2016,Propane,0,1
Illinois,2016,Hydrogen,0,1
Illinois,2016,Methanol,0,1
Illinois,2016,Gasoline,8748600,0
Illinois,2016,Diesel,200900,0
Illinois,2016,Unknown Fuel,94500,0
Indiana,2016,Electric (EV),1300,1
Indiana,2016,Plug-In Hybrid Electric (PHEV),2400,1
Indiana,2016,Hybrid Electric (HEV),54500,1
Indiana,2016,Biodiesel,0,1
Indiana,2016,Ethanol/Flex (E85),569300,1
Indiana,2016,Compressed Natural Gas (CNG),19900,1
Indiana,2016,Propane,0,1
Indiana,2016,Hydrogen,0,1
Indiana,2016,Methanol,0,1
Indiana,2016,Gasoline,4855200,0
Indiana,2016,Diesel,156800,0
Indiana,2016,Unknown Fuel,82500,0
Iowa,2016,Electric (EV),400,1
Iowa,2016,Plug-In Hybrid Electric (PHEV),1200,1
Iowa,2016,Hybrid Electric (HEV),26900,1
Iowa,2016,Biodiesel,0,1
Iowa,2016,Ethanol/Flex (E85),367400,1
Iowa,2016,Compressed Natural Gas (CNG),13400,1
Iowa,2016,Propane,0,1
Iowa,2016,Hydrogen,0,1
Iowa,2016,Methanol,0,1
Iowa,2016,Gasoline,2418600,0
Iowa,2016,Diesel,107600,0
Iowa,2016,Unknown Fuel,80600,0
Kansas,2016,Electric (EV),600,1
Kansas,2016,Plug-In Hybrid Electric (PHEV),1000,1
Kansas,2016,Hybrid Electric (HEV),26200,1
Kansas,2016,Biodiesel,0,1
Kansas,2016,Ethanol/Flex (E85),250600,1
Kansas,2016,Compressed Natural Gas (CNG),14200,1
Kansas,2016,Propane,0,1
Kansas,2016,Hydrogen,0,1
Kansas,2016,Methanol,0,1
Kansas,2016,Gasoline,2095000,0
Kansas,2016,Diesel,90000,0
Kansas,2016,Unknown Fuel,42400,0
Kentucky,2016,Electric (EV),500,1
Kentucky,2016,Plug-In Hybrid Electric (PHEV),900,1
Kentucky,2016,Hybrid Electric (HEV),30900,1
Kentucky,2016,Biodiesel,0,1
Kentucky,2016,Ethanol/Flex (E85),336000,1
Kentucky,2016,Compressed Natural Gas (CNG),15600,1
Kentucky,2016,Propane,0,1
Kentucky,2016,Hydrogen,0,1
Kentucky,2016,Methanol,0,1
Kentucky,2016,Gasoline,3285300,0
Kentucky,2016,Diesel,115200,0
Kentucky,2016,Unknown Fuel,47500,0
Louisiana,2016,Electric (EV),400,1
Louisiana,2016,Plug-In Hybrid Electric (PHEV),500,1
Louisiana,2016,Hybrid Electric (HEV),17700,1
Louisiana,2016,Biodiesel,0,1
Louisiana,2016,Ethanol/Flex (E85),469700,1
Louisiana,2016,Compressed Natural Gas (CNG),11900,1
Louisiana,2016,Propane,0,1
Louisiana,2016,Hydrogen,0,1
Louisiana,2016,Methanol,0,1
Louisiana,2016,Gasoline,3047300,0
Louisiana,2016,Diesel,152400,0
Louisiana,2016,Unknown Fuel,36600,0
Maine,2016,Electric (EV),300,1
